model_type,regime,n_obs,cumulative_return,sharpe,max_drawdown,avg_turnover,total_turnover
baseline,high,324,-0.08904517098777343,-0.206794686000912,-0.23088431421728772,0.9792243895339378,317.2687022089958
baseline,mid,324,0.3388616822718302,1.8003142802178524,-0.0642272046481217,0.7701845631279327,249.5397984534502
baseline,low,324,-0.03373065262166863,-0.17668741718234135,-0.10181377621829879,0.66237870387641,214.61070005595684
prl,high,324,-0.16582856119455047,-0.517448907731679,-0.2935845689569072,1.2874292311845001,417.1270709037781
prl,mid,324,0.3498424094143002,1.804340913342767,-0.06425615281091024,1.0916467951035793,353.6935616135597
prl,low,324,-0.03025295016271401,-0.1546207291669133,-0.12341939280799707,0.9897448492270929,320.6773311495781
buy_and_hold_equal_weight,high,324,-0.04715375794558074,-0.06630579752409224,-0.21017938902878663,0.0,0.0
buy_and_hold_equal_weight,mid,324,0.4683534261880189,2.614334722813249,-0.06083574545015391,0.0,0.0
buy_and_hold_equal_weight,low,324,0.11301405629615613,0.9130580155111176,-0.08071976215413657,0.0,0.0
daily_rebalanced_equal_weight,high,324,-0.04715375794558074,-0.06630579752409224,-0.21017938902878663,0.0,0.0
daily_rebalanced_equal_weight,mid,324,0.4683534261880189,2.614334722813249,-0.06083574545015391,0.0,0.0
daily_rebalanced_equal_weight,low,324,0.11301405629615613,0.9130580155111176,-0.08071976215413657,0.0,0.0
inverse_vol_risk_parity,high,324,-0.029227696878394882,-0.01797725415298704,-0.18577223389987818,0.026773743664368084,8.67469294725526
inverse_vol_risk_parity,mid,324,0.4175269725787001,2.5353961509775402,-0.0671458985286747,0.02902429910964667,9.403872911525522
inverse_vol_risk_parity,low,324,0.08341727264270205,0.7247223883827648,-0.08033315933347496,0.030420707464780723,9.856309218588954
