table,domain,interface,friction,seeds,agreement,suboptimal_share_count,ci_type,ci_lower,ci_upper,ci
q2,Event-micro,threshold tau=0.55,0.50,100,0.31,0.69 (69/100),Wilson,0.594,0.772,"[0.594, 0.772]"
q2,Event-micro,threshold tau=0.55,1.00,100,0.01,0.99 (99/100),Wilson,0.946,0.998,"[0.946, 0.998]"
q2,Traffic Top-k,budget k=249,0.50,100,0.00,1.00 (100/100),Wilson,0.963,1.000,"[0.963, 1.000]"
q2,Traffic Top-k,budget k=249,1.00,100,0.00,1.00 (100/100),Wilson,0.963,1.000,"[0.963, 1.000]"
q2,Inventory,replenishment,0.50,100,0.26,0.74 (74/100),Wilson,0.646,0.816,"[0.646, 0.816]"
q2,Inventory,replenishment,1.00,100,0.01,0.99 (99/100),Wilson,0.946,0.998,"[0.946, 0.998]"
q2,Load-following,secondary,0.25,10,0.30,0.70 (7/10),Clopper-Pearson,0.348,0.933,"[0.348, 0.933]"
q2,Load-following,secondary,0.50,10,0.30,0.70 (7/10),Clopper-Pearson,0.348,0.933,"[0.348, 0.933]"
q2,Load-following,secondary,1.00,10,0.20,0.80 (8/10),Clopper-Pearson,0.444,0.975,"[0.444, 0.975]"
event_interface,Fixed threshold,,0.50,100,0.31,0.69 (69/100),Wilson,0.594,0.772,"[0.594, 0.772]"
event_interface,Fixed threshold,,1.00,100,0.01,0.99 (99/100),Wilson,0.946,0.998,"[0.946, 0.998]"
event_interface,Hysteresis threshold,,0.50,100,0.45,0.55 (55/100),Wilson,0.452,0.644,"[0.452, 0.644]"
event_interface,Hysteresis threshold,,1.00,100,0.18,0.82 (82/100),Wilson,0.733,0.883,"[0.733, 0.883]"
